Ano e mês,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,bikes disponiveis para contratar
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1815 - 1830,PM peak (16:00-19:00),Northbound,20,15,3
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1845 - 1900,PM peak (16:00-19:00),Southbound,20,45,3
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,0900 - 0915,AM peak (07:00-10:00),Southbound,21,0,4
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1145 - 1200,Inter-peak (10:00-16:00),Southbound,21,45,4
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1815 - 1830,PM peak (16:00-19:00),Southbound,21,15,5
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1830 - 1845,PM peak (16:00-19:00),Northbound,21,30,5
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1400 - 1415,Inter-peak (10:00-16:00),Northbound,6,0,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1430 - 1445,Inter-peak (10:00-16:00),Southbound,8,30,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1445 - 1500,Inter-peak (10:00-16:00),Northbound,7,45,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1500 - 1515,Inter-peak (10:00-16:00),Northbound,7,0,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1545 - 1600,Inter-peak (10:00-16:00),Northbound,7,45,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1615 - 1630,PM peak (16:00-19:00),Northbound,7,15,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1615 - 1630,PM peak (16:00-19:00),Southbound,8,15,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1630 - 1645,PM peak (16:00-19:00),Northbound,7,30,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1715 - 1730,PM peak (16:00-19:00),Southbound,8,15,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1400 - 1415,Inter-peak (10:00-16:00),Southbound,15,0,1
